Umur,,Indeks Massa Tubuh,,,,,,
Tahun,Bulan,-3 SD,-2 SD,-1 SD,Median,+1 SD,+2 SD,+3 SD
,0,10.2,11.1,12.2,13.4,14.8,16.3,18.1
,1,11.3,12.4,13.6,14.9,16.3,17.8,19.4
,2,12.5,13.7,15,16.3,17.8,19.4,21.1
,3,13.1,14.3,15.5,16.9,18.4,20,21.8
,4,13.4,14.5,15.8,17.2,18.7,20.3,22.1
,5,13.5,14.7,15.9,17.3,18.8,20.5,22.3
,6,13.6,14.7,16,17.3,18.8,20.5,22.3
,7,13.7,14.8,16,17.3,18.8,20.5,22.3
,8,13.6,14.7,15.9,17.3,18.7,20.4,22.2
,9,13.6,14.7,15.8,17.2,18.6,20.3,22.1
,10,13.5,14.6,15.7,17,18.5,20.1,22
,11,13.4,14.5,15.6,16.9,18.4,20,21.8
,12,13.4,14.4,15.5,16.8,18.2,19.8,21.6
,13,13.3,14.3,15.4,16.7,18.1,19.7,21.5
,14,13.2,14.2,15.3,16.6,18,19.5,21.3
,15,13.1,14.1,15.2,16.4,17.8,19.4,21.2
,16,13.1,14,15.1,16.3,17.7,19.3,21
,17,13,13.9,15,16.2,17.6,19.1,20.9
,18,12.9,13.9,14.9,16.1,17.5,19,20.8
,19,12.9,13.8,14.9,16.1,17.4,18.9,20.7
,20,12.8,13.7,14.8,16,17.3,18.8,20.6
,21,12.8,13.7,14.7,15.9,17.2,18.7,20.5
,22,12.7,13.6,14.7,15.8,17.2,18.7,20.4
,23,12.7,13.6,14.6,15.8,17.1,18.6,20.3
,24,12.7,13.6,14.6,15.7,17,18.5,20.3
,25,12.8,13.8,14.8,16,17.3,18.8,20.5
,26,12.8,13.7,14.8,15.9,17.3,18.8,20.5
,27,12.7,13.7,14.7,15.9,17.2,18.7,20.4
,28,12.7,13.6,14.7,15.9,17.2,18.7,20.4
,29,12.7,13.6,14.7,15.8,17.1,18.6,20.3
,30,12.6,13.6,14.6,15.8,17.1,18.6,20.2
,31,12.6,13.5,14.6,15.8,17.1,18.5,20.2
,32,12.5,13.5,14.6,15.7,17,18.5,20.1
,33,12.5,13.5,14.5,15.7,17,18.5,20.1
,34,12.5,13.4,14.5,15.7,17,18.4,20
,35,12.4,13.4,14.5,15.6,16.9,18.4,20
,36,12.4,13.4,14.4,15.6,16.9,18.4,20
,37,12.4,13.3,14.4,15.6,16.9,18.3,19.9
,38,12.3,13.3,14.4,15.5,16.8,18.3,19.9
,39,12.3,13.3,14.3,15.5,16.8,18.3,19.9
,40,12.3,13.2,14.3,15.5,16.8,18.2,19.9
,41,12.2,13.2,14.3,15.5,16.8,18.2,19.9
,42,12.2,13.2,14.3,15.4,16.8,18.2,19.8
,43,12.2,13.2,14.2,15.4,16.7,18.2,19.8
,44,12.2,13.1,14.2,15.4,16.7,18.2,19.8
,45,12.2,13.1,14.2,15.4,16.7,18.2,19.8
,46,12.1,13.1,14.2,15.4,16.7,18.2,19.8
,47,12.1,13.1,14.2,15.3,16.7,18.2,19.9
,48,12.1,13.1,14.1,15.3,16.7,18.2,19.9
,49,12.1,13,14.1,15.3,16.7,18.2,19.9
,50,12.1,13,14.1,15.3,16.7,18.2,19.9
,51,12.1,13,14.1,15.3,16.6,18.2,19.9
,52,12,13,14.1,15.3,16.6,18.2,19.9
,53,12,13,14.1,15.3,16.6,18.2,20
,54,12,13,14,15.3,16.6,18.2,20
,55,12,13,14,15.2,16.6,18.2,20
,56,12,12.9,14,15.2,16.6,18.2,20.1
,57,12,12.9,14,15.2,16.6,18.2,20.1
,58,12,12.9,14,15.2,16.6,18.3,20.2
,59,12,12.9,14,15.2,16.6,18.3,20.2
,60,12,12.9,14,15.2,16.6,18.3,20.3
5,1,12.1,13,14.1,15.3,16.6,18.3,20.2
5,2,12.1,13,14.1,15.3,16.6,18.3,20.2
5,3,12.1,13,14.1,15.3,16.7,18.3,20.2
5,4,12.1,13,14.1,15.3,16.7,18.3,20.3
5,5,12.1,13,14.1,15.3,16.7,18.3,20.3
5,6,12.1,13,14.1,15.3,16.7,18.4,20.4
5,7,12.1,13,14.1,15.3,16.7,18.4,20.4
5,8,12.1,13,14.1,15.3,16.7,18.4,20.5
5,9,12.1,13,14.1,15.3,16.7,18.4,20.5
5,10,12.1,13,14.1,15.3,16.7,18.5,20.6
5,11,12.1,13,14.1,15.3,16.7,18.5,20.6
6,0,12.1,13,14.1,15.3,16.8,18.5,20.7
6,1,12.1,13,14.1,15.3,16.8,18.6,20.8
6,2,12.2,13.1,14.1,15.3,16.8,18.6,20.8
6,3,12.2,13.1,14.1,15.3,16.8,18.6,20.9
6,4,12.2,13.1,14.1,15.4,16.8,18.7,21
6,5,12.2,13.1,14.1,15.4,16.9,18.7,21
6,6,12.2,13.1,14.1,15.4,16.9,18.7,21.1
6,7,12.2,13.1,14.1,15.4,16.9,18.8,21.2
6,8,12.2,13.1,14.2,15.4,16.9,18.8,21.3
6,9,12.2,13.1,14.2,15.4,17,18.9,21.3
6,10,12.2,13.1,14.2,15.4,17,18.9,21.4
6,11,12.2,13.1,14.2,15.5,17,19,21.5
7,0,12.3,13.1,14.2,15.5,17,19,21.6
7,1,12.3,13.2,14.2,15.5,17.1,19.1,21.7
7,2,12.3,13.2,14.2,15.5,17.1,19.1,21.8
7,3,12.3,13.2,14.3,15.5,17.1,19.2,21.9
7,4,12.3,13.2,14.3,15.6,17.2,19.2,22
7,5,12.3,13.2,14.3,15.6,17.2,19.3,22
7,6,12.3,13.2,14.3,15.6,17.2,19.3,22.1
7,7,12.3,13.2,14.3,15.6,17.3,19.4,22.2
7,8,12.3,13.2,14.3,15.6,17.3,19.4,22.4
7,9,12.4,13.3,14.3,15.7,17.3,19.5,22.5
7,10,12.4,13.3,14.4,15.7,17.4,19.6,22.6
7,11,12.4,13.3,14.4,15.7,17.4,19.6,22.7
8,0,12.4,13.3,14.4,15.7,17.4,19.7,22.8
8,1,12.4,13.3,14.4,15.8,17.5,19.7,22.9
8,2,12.4,13.3,14.4,15.8,17.5,19.8,23
8,3,12.4,13.3,14.4,15.8,17.5,19.9,23.1
8,4,12.4,13.4,14.5,15.8,17.6,19.9,23.3
8,5,12.5,13.4,14.5,15.9,17.6,20,23.4
8,6,12.5,13.4,14.5,15.9,17.7,20.1,23.5
8,7,12.5,13.4,14.5,15.9,17.7,20.1,23.6
8,8,12.5,13.4,14.5,15.9,17.7,20.2,23.8
8,9,12.5,13.4,14.6,16,17.8,20.3,23.9
8,10,12.5,13.5,14.6,16,17.8,20.3,24
8,11,12.5,13.5,14.6,16,17.9,20.4,24.2
9,0,12.6,13.5,14.6,16,17.9,20.5,24.3
9,1,12.6,13.5,14.6,16.1,18,20.5,24.4
9,2,12.6,13.5,14.7,16.1,18,20.6,24.6
9,3,12.6,13.5,14.7,16.1,18,20.7,24.7
9,4,12.6,13.6,14.7,16.2,18.1,20.8,24.9
9,5,12.6,13.6,14.7,16.2,18.1,20.8,25
9,6,12.7,13.6,14.8,16.2,18.2,20.9,25.1
9,7,12.7,13.6,14.8,16.3,18.2,21,25.3
9,8,12.7,13.6,14.8,16.3,18.3,21.1,25.5
9,9,12.7,13.7,14.8,16.3,18.3,21.2,25.6
9,10,12.7,13.7,14.9,16.4,18.4,21.2,25.8
9,11,12.8,13.7,14.9,16.4,18.4,21.3,25.9
10,0,12.8,13.7,14.9,16.4,18.5,21.4,26.1
10,1,12.8,13.8,15,16.5,18.5,21.5,26.2
10,2,12.8,13.8,15,16.5,18.6,21.6,26.4
10,3,12.8,13.8,15,16.6,18.6,21.7,26.6
10,4,12.9,13.8,15,16.6,18.7,21.7,26.7
10,5,12.9,13.9,15.1,16.6,18.8,21.8,26.9
10,6,12.9,13.9,15.1,16.7,18.8,21.9,27
10,7,12.9,13.9,15.1,16.7,18.9,22,27.2
10,8,13,13.9,15.2,16.8,18.9,22.1,27.4
10,9,13,14,15.2,16.8,19,22.2,27.5
10,10,13,14,15.2,16.9,19,22.3,27.7
10,11,13,14,15.3,16.9,19.1,22.4,27.9
11,0,13.1,14.1,15.3,16.9,19.2,22.5,28
11,1,13.1,14.1,15.3,17,19.2,22.5,28.2
11,2,13.1,14.1,15.4,17,19.3,22.6,28.4
11,3,13.1,14.1,15.4,17.1,19.3,22.7,28.5
11,4,13.2,14.2,15.5,17.1,19.4,22.8,28.7
11,5,13.2,14.2,15.5,17.2,19.5,22.9,28.8
11,6,13.2,14.2,15.5,17.2,19.5,23,29
11,7,13.2,14.3,15.6,17.3,19.6,23.1,29.2
11,8,13.3,14.3,15.6,17.3,19.7,23.2,29.3
11,9,13.3,14.3,15.7,17.4,19.7,23.3,29.5
11,10,13.3,14.4,15.7,17.4,19.8,23.4,29.6
11,11,13.4,14.4,15.7,17.5,19.9,23.5,29.8
12,0,13.4,14.5,15.8,17.5,19.9,23.6,30
12,1,13.4,14.5,15.8,17.6,20,23.7,30.1
12,2,13.5,14.5,15.9,17.6,20.1,23.8,30.3
12,3,13.5,14.6,15.9,17.7,20.2,23.9,30.4
12,4,13.5,14.6,16,17.8,20.2,24,30.6
12,5,13.6,14.6,16,17.8,20.3,24.1,30.7
12,6,13.6,14.7,16.1,17.9,20.4,24.2,30.9
12,7,13.6,14.7,16.1,17.9,20.4,24.3,31
12,8,13.7,14.8,16.2,18,20.5,24.4,31.1
12,9,13.7,14.8,16.2,18,20.6,24.5,31.3
12,10,13.7,14.8,16.3,18.1,20.7,24.6,31.4
12,11,13.8,14.9,16.3,18.2,20.8,24.7,31.6
13,0,13.8,14.9,16.4,18.2,20.8,24.8,31.7
13,1,13.8,15,16.4,18.3,20.9,24.9,31.8
13,2,13.9,15,16.5,18.4,21,25,31.9
13,3,13.9,15.1,16.5,18.4,21.1,25.1,32.1
13,4,14,15.1,16.6,18.5,21.1,25.2,32.2
13,5,14,15.2,16.6,18.6,21.2,25.2,32.3
13,6,14,15.2,16.7,18.6,21.3,25.3,32.4
13,7,14.1,15.2,16.7,18.7,21.4,25.4,32.6
13,8,14.1,15.3,16.8,18.7,21.5,25.5,32.7
13,9,14.1,15.3,16.8,18.8,21.5,25.6,32.8
13,10,14.2,15.4,16.9,18.9,21.6,25.7,32.9
13,11,14.2,15.4,17,18.9,21.7,25.8,33
14,0,14.3,15.5,17,19,21.8,25.9,33.1
14,1,14.3,15.5,17.1,19.1,21.8,26,33.2
14,2,14.3,15.6,17.1,19.1,21.9,26.1,33.3
14,3,14.4,15.6,17.2,19.2,22,26.2,33.4
14,4,14.4,15.7,17.2,19.3,22.1,26.3,33.5
14,5,14.5,15.7,17.3,19.3,22.2,26.4,33.5
14,6,14.5,15.7,17.3,19.4,22.2,26.5,33.6
14,7,14.5,15.8,17.4,19.5,22.3,26.5,33.7
14,8,14.6,15.8,17.4,19.5,22.4,26.6,33.8
14,9,14.6,15.9,17.5,19.6,22.5,26.7,33.9
14,10,14.6,15.9,17.5,19.6,22.5,26.8,33.9
14,11,14.7,16,17.6,19.7,22.6,26.9,34
15,0,14.7,16,17.6,19.8,22.7,27,34.1
15,1,14.7,16.1,17.7,19.8,22.8,27.1,34.1
15,2,14.8,16.1,17.8,19.9,22.8,27.1,34.2
15,3,14.8,16.1,17.8,20,22.9,27.2,34.3
15,4,14.8,16.2,17.9,20,23,27.3,34.3
15,5,14.9,16.2,17.9,20.1,23,27.4,34.4
15,6,14.9,16.3,18,20.1,23.1,27.4,34.5
15,7,15,16.3,18,20.2,23.2,27.5,34.5
15,8,15,16.3,18.1,20.3,23.3,27.6,34.6
15,9,15,16.4,18.1,20.3,23.3,27.7,34.6
15,10,15,16.4,18.2,20.4,23.4,27.7,34.7
15,11,15.1,16.5,18.2,20.4,23.5,27.8,34.7
16,0,15.1,16.5,18.2,20.5,23.5,27.9,34.8
16,1,15.1,16.5,18.3,20.6,23.6,27.9,34.8
16,2,15.2,16.6,18.3,20.6,23.7,28,34.8
16,3,15.2,16.6,18.4,20.7,23.7,28.1,34.9
16,4,15.2,16.7,18.4,20.7,23.8,28.1,34.9
16,5,15.3,16.7,18.5,20.8,23.8,28.2,35
16,6,15.3,16.7,18.5,20.8,23.9,28.3,35
16,7,15.3,16.8,18.6,20.9,24,28.3,35
16,8,15.3,16.8,18.6,20.9,24,28.4,35.1
16,9,15.4,16.8,18.7,21,24.1,28.5,35.1
16,10,15.4,16.9,18.7,21,24.2,28.5,35.1
16,11,15.4,16.9,18.7,21.1,24.2,28.6,35.2
17,0,15.4,16.9,18.8,21.1,24.3,28.6,35.2
17,1,15.5,17,18.8,21.2,24.3,28.7,35.2
17,2,15.5,17,18.9,21.2,24.4,28.7,35.2
17,3,15.5,17,18.9,21.3,24.4,28.8,35.3
17,4,15.5,17.1,18.9,21.3,24.5,28.9,35.3
17,5,15.6,17.1,19,21.4,24.5,28.9,35.3
17,6,15.6,17.1,19,21.4,24.6,29,35.3
17,7,15.6,17.1,19.1,21.5,24.7,29,35.4
17,8,15.6,17.2,19.1,21.5,24.7,29.1,35.4
17,9,15.6,17.2,19.1,21.6,24.8,29.1,35.4
17,10,15.7,17.2,19.2,21.6,24.8,29.2,35.4
17,11,15.7,17.3,19.2,21.7,24.9,29.2,35.4
18,0,15.7,17.3,19.2,21.7,24.9,29.2,35.4
18,1,15.7,17.3,19.3,21.8,25,29.3,35.4
18,2,15.7,17.3,19.3,21.8,25,29.3,35.5
18,3,15.7,17.4,19.3,21.8,25.1,29.4,35.5
18,4,15.8,17.4,19.4,21.9,25.1,29.4,35.5
18,5,15.8,17.4,19.4,21.9,25.1,29.5,35.5
18,6,15.8,17.4,19.4,22,25.2,29.5,35.5
18,7,15.8,17.5,19.5,22,25.2,29.5,35.5
18,8,15.8,17.5,19.5,22,25.3,29.6,35.5
18,9,15.8,17.5,19.5,22.1,25.3,29.6,35.5
18,10,15.8,17.5,19.6,22.1,25.4,29.6,35.5
18,11,15.8,17.5,19.6,22.2,25.4,29.7,35.5
19,0,15.9,17.6,19.6,22.2,25.4,29.7,35.5
